District_Key   , District       , Year_AD, Year_BS, Province              , A00                   , A01                , A02                , A03                , A04                   , A05                , A06                , A07                , A08                   , A09               , A10               , A11                , A12                , A13                   , A14                , A15                , A16                , A17                , A18                , A19                , A20                , A21                , A22                , A23                , A24                , A25                , A26                   , A27                  , A28                   , A29                  , A30                , A31               , A32                   , A33                  , A34                , A35                , A36                , A37                , A38                , A39                , A40                   , A41                , A42                , A43                , A44                , A45               , A46                    , A47               , A48                , A49                    , A50                   , A51                , A52                   , A53                , A54               , A55                , A56                  , A57                , A58                , A59                , A60                , A61                , A62                  , A63                , Barley_Area_Ha, Maize_Area_Ha, Millet_Area_Ha, Wheat_Area_Ha, Barley_Production_Mt, Maize_Production_Mt, Millet_Production_Mt, Wheat_Production_Mt, Barley_Yield_MtHa, Maize_Yield_MtHa, Millet_Yield_MtHa, Wheat_Yield_MtHa
ACHHAM         , ACHHAM         ,2019, 2075/76, Sudurpashchim Province,0.0149197967957041,-0.1434536465195839,0.1763203790192385,-0.0741782586252372,-0.0252304414158786,-0.0725825417284171,-0.1118331141906568,0.1889379748119966,-0.0338843982244454,0.0358570657322218,0.0437635437467772,0.0315984220004317,-0.2640209829710687,-0.0276351444675108,0.066715452182005,-0.0483771861960957,-0.1342755700278649,0.11883254741492,-0.1006615357040157,-0.1879755765920067,-0.1082161930670626,0.0269154342627873,0.1413022802948741,-0.0919766814932067,0.0656524863771263,-0.0291760652015601,-0.0176864226691498,0.0359445068055692,-0.0668629754024952,-0.0266321070184332,0.0679333560147038,0.2303949805161576,0.0783729301879461,0.0166021146153949,-0.1312294889235242,-0.0313331548490039,-0.0424681106853239,0.0231205100246525,0.0227769178919535,-0.0438349092317925,0.006672401049485,-0.0371817457388536,-0.1440270969340282,0.0625908787713319,0.1275354916602448,0.1405553542175993,0.0033555568289139,0.2076401134498503,0.0117191290909856,0.0617853954535849,0.0678143747937014,0.0007430446353112,0.0597506223760203,0.0294763658066841,0.1412617712450125,-0.0965272868089767,-0.1342887540070171,-0.0788220043916144,-0.1398687457004167,-0.1379575164861798,0.1642993845819317,-0.0533852714819622,0.0274655934713762,-0.1285505265089497, 446.0         , 6907.0       , 3430.0        , 14460.0      , 544.0               , 16349.0            , 3840.0              , 25207.0            , 1.22             , 2.37            , 1.12             , 1.74
ARGHAKHANCHI   , ARGHAKHANCHI   ,2019, 2075/76, Lumbini Province      ,0.0373067322973649,-0.1166532318344418,0.1604613599335319,-0.0524584301251897,-0.0115309606284574,-0.0836588835236459,-0.1315138352875964,0.1976034081987642,-0.0167262317321173,0.0618619352843655,0.0614181972625674,0.058115022071067,-0.3094815101005905,0.0055429608744162,0.0227708397755627,-0.0061839554450468,-0.137320468614817,0.0874323424551442,-0.0978368727813563,-0.1621740374304146,-0.1656460237271485,0.0798571405304293,0.191269421705278,-0.106454610524105,0.0433574135865542,-0.0138019810932431,0.0055942443092679,0.0711955515852531,-0.0883440713175708,0.0329741304333906,0.0755047065797426,0.2226001155613587,0.0889213376651931,-0.0080150811243715,-0.0834508031962175,-0.0077005802792186,-0.0829620496450813,0.0267399200881687,0.0807881991295147,-0.0611416294231929,0.0054161528281149,-0.0370600211762551,-0.165635322478969,0.1571145134208035,0.1309549087208401,0.1109148400089002,-0.0239358605684463,0.2193540917665164,-0.0372989470654429,0.0717235906436098,0.0667794175085125,0.0336614622248037,0.0481712629585872,-0.0387229390567568,0.1889359298891646,-0.1303926276238103,-0.1170616703615536,-0.045529478841758,-0.1114343975556159,-0.1112701010931994,0.1573939858347247,-0.0732763115932915,0.0395146575329967,-0.0929550396767934, 219.0         , 16729.0      , 499.0         , 5446.0       , 387.0               , 57715.0            , 639.0               , 16067.0            , 1.77             , 3.45            , 1.28             , 2.95
BAGLUNG        , BAGLUNG        ,2019, 2075/76, Gandaki Province      ,0.0023611016431455,-0.1442213577804222,0.1459531101897383,-0.0708061967611441,-0.0372151078919625,-0.0673961895511995,-0.0943091706882211,0.1503660875769302,0.0013853822457418,0.0908295936255404,0.0351055408313302,-0.012236817578463,-0.210579789654893,0.0044104770394053,-0.0162384106628502,-0.0558006917450592,-0.1601395677523291,0.0920840312217382,-0.1102071576548242,-0.1767858631330755,-0.0225186986963695,-0.0279416699446628,0.1393649748565446,-0.0925896771138813,0.0635969427849245,-0.0704370104253323,-0.0145962030615966,0.0186428420216991,-0.0734730722914876,-0.0259457051150282,0.0300569632670476,0.2341766808483115,0.0179735239421533,0.0201748201088475,-0.1436389497683801,-0.0832349337066177,-0.0297613402949541,-0.0231969394783681,-0.000778459548554,-0.0443848667487308,-0.04415077516937,-0.0224184302520932,-0.1671819653287009,0.0137489633614837,0.0729447370779059,0.1306686517751964,-0.0104379480647033,0.1999797842694874,0.0285375190059972,0.0722979395740473,0.0528767667633836,-0.045472580370191,0.0501827069105862,0.0965468612581327,0.1483723920344888,-0.1148912268948854,-0.1364199233637804,-0.1072750293611277,-0.1803736509090857,-0.1419735284245236,0.0883382655044711,0.0208784371787482,-0.0308205276192779,-0.0985964238294215, 776.0         , 20697.0      , 18163.0       , 6493.0       , 1115.0              , 72170.0            , 22505.0             , 15439.0            , 1.44             , 3.49            , 1.24             , 2.38
BAITADI        , BAITADI        ,2019, 2075/76, Sudurpashchim Province,0.0175846006274151,-0.1753695173088727,0.1584102468123654,-0.1054371921269609,-0.0424691974881105,-0.0456149695529427,-0.079791956864523,0.1934721314572075,-0.033997736460538,0.0470894166538766,0.063567261948958,0.0409063899959363,-0.2748248851921588,-0.0276155638530045,0.0864999032032945,-0.0808441028035451,-0.142072843910193,0.1150382540709258,-0.1269789171313168,-0.1980544255440756,-0.0958303192231979,0.0033379926708401,0.0959970696245961,-0.1065512020986638,0.0894180993351565,0.0026446887692292,-0.0448428840319868,-0.0136479044786222,-0.051858843999656,0.0062310415927781,0.060735693575036,0.1748274950577515,0.1023859401771623,0.0254770743843047,-0.1531015299685151,-0.0157920907187285,-0.0682761329333666,-0.010356509992771,0.0144477999129044,-0.0076174443667442,-0.0147855219808859,0.0181971200942784,-0.1466563609142092,0.0166269129679842,0.0982631423500154,0.1466731116974448,-0.002542865810267,0.268769935841308,-0.0089919233498139,0.0294561388771424,0.0677728478728035,0.008022992442771,0.0808540843868123,0.0933357997261899,0.122673349255484,-0.0946418968379478,-0.1233073202187271,-0.0810626029872371,-0.1286982572991359,-0.1037649441831267,0.134945074691287,-0.0028037055624976,0.0225870681691684,-0.1041447231628494, 885.0         , 14990.0      , 352.0         , 19527.0      , 599.0               , 27791.0            , 408.0               , 21961.0            , 0.68             , 1.85            , 1.16             , 1.12
BAJHANG        , BAJHANG        ,2019, 2075/76, Sudurpashchim Province,-0.0508641562890628,-0.2039594565684341,0.0542370619632261,-0.0897603779105447,-0.0749232443521465,-0.00623577916915,0.0133896974783631,0.1245754700878647,-0.0336051383989598,0.1048662695766479,0.016672641773492,0.0352433709952665,-0.0957254411395355,-0.0158094906700059,-0.0848707632980629,-0.01748199179901,-0.0985913946489521,0.0895574763258382,-0.0930551709054995,-0.1769979587182674,0.0363369586928241,-0.0287035245023541,0.0697108673029318,-0.1125064611572158,0.0396848120686227,-0.0385594143778286,-0.0284708385749712,0.0210046752409275,-0.0143796993403705,-0.0410309275783676,0.0389968957696196,0.1821656189961236,-0.0061291295511022,0.0219232880572061,-0.0824811091868507,-0.0866943522705776,-0.0432490637691498,-0.0406011237637035,-0.0815800052371989,-0.0287599263074944,-0.0332495402312515,0.0726985999697643,-0.1431462463857892,-0.0822551956374473,0.056754299489533,0.1946745611592547,0.0004452453240874,0.1507246227544349,-0.0417579013632042,0.0505159920125912,0.0301112700199004,-0.0035643722668599,0.0402369044413279,0.1455478563391867,0.1906679506870452,-0.0580861814753076,-0.180536618546807,-0.1464880294120249,-0.1167289554790853,-0.0775735755032379,-0.0094275619182019,0.1184510346898202,-0.0668212922682626,-0.0666277868907373, 3971.0        , 4164.0       , 2736.0        , 10260.0      , 2943.0              , 5792.0             , 2057.0              , 16138.0            , 0.74             , 1.39            , 0.75             , 1.57
BAJURA         , BAJURA         ,2019, 2075/76, Sudurpashchim Province,-0.0253411414403682,-0.1954444014927214,0.0908599155573598,-0.0844012307779332,-0.0497924463237206,-0.0305998679065039,-0.0318171636104381,0.1351267135844801,-0.0130018077638587,0.0900677022916681,0.0261043977030037,0.0098476694464087,-0.1349131061292946,-0.0071491475514519,-0.0532708342799383,-0.0192053393071037,-0.1260799146090909,0.08997289390427,-0.1047047195591779,-0.1724444576304436,0.039494552181308,-0.0365552778925869,0.0947222627985928,-0.0991890101114833,0.0444024791329105,-0.064547127809006,-0.0366844589931445,0.0179492526227743,-0.0286075924286934,-0.052450669001565,0.03988549611703,0.2238898239858455,-0.0205170852823625,0.0263681330143983,-0.1066634418551028,-0.0803652371299435,-0.0370177740069192,-0.0119526107350121,-0.0637314538870745,-0.0340306066125073,-0.0518684208207278,0.0265935757638293,-0.1416211360379371,-0.062776786271338,0.0598411392634431,0.175521079151164,0.026396143987591,0.1403755029496725,-0.015112407431565,0.0502457629762541,0.0374440894626411,-0.032001837530324,0.0439269800829623,0.1638802144139905,0.1645965268736762,-0.0518509936636301,-0.1881649530237196,-0.1403918302618687,-0.1513736373894801,-0.0892815765612727,0.0311941893455356,0.0780371415838607,-0.0436194993270354,-0.0752166182409615, 955.0         , 904.0        , 2545.0        , 6664.0       , 958.0               , 1444.0             , 2588.0              , 6265.0             , 1.0              , 1.6             , 1.02             , 0.94
BANKE          , BANKE          ,2019, 2075/76, Lumbini Province      ,0.0154548177477496,-0.1231540709631856,0.1377310093852179,-0.0227517948293727,0.004268018597534,-0.0066746289834819,-0.0752863488752824,0.1685032905523915,-0.0817297091754959,0.0955133020909198,0.1069562874367184,0.090587010154566,-0.32949562459993,0.0081568676559008,0.0221307972618381,0.0857420968492277,-0.1526018766690195,0.0306184745209477,-0.0594217864503213,-0.1826220478515006,-0.200930855922729,0.2179039233563896,0.2148129363512099,-0.0666127289175652,0.0531255395910443,0.0341948510426109,0.0068585976062133,0.1085925775435335,-0.035940256105163,0.049701055498849,0.08013003162107,0.1797533068381434,0.0799916395893057,-0.074533128817174,0.0182611713113547,0.0575986893527021,-0.1210400841757233,0.0419097135551131,0.1055688523396553,-0.0758959231438661,0.0688363557600646,-0.0518834853193565,-0.1530297263868944,0.2178505695646382,0.1364460933211876,0.1047469433949325,0.0419648670092366,0.1056370947863851,-0.0764785136416291,0.0753266699757895,0.0111689183908951,0.1212336819779454,0.0099834432439111,-0.1200754000273607,0.1626950555798878,-0.1100099286858325,-0.1136584070503273,0.0189476488686408,-0.1019099691576906,-0.0970230019559584,0.1699785918264788,-0.1142635790051963,0.0835310106943445,-0.0272568712157258, 9.0           , 9183.0       , N/A           , 17798.0      , 10.0                , 20386.0            , N/A                 , 66521.0            , 1.11             , 2.22            , N/A              , 3.74
BARA           , BARA           ,2019, 2075/76, Madhesh Province      ,0.0107566763686605,-0.1418881045426496,0.1384398549928057,-0.0228739903234601,0.0063585613177676,0.0389150113654956,-0.0338422244121266,0.1255574676775263,-0.0719266041273044,0.1509121128862295,0.12785139283537,0.0812176535380548,-0.3107568016948714,0.0137331343154589,0.0405446304255105,0.0597623854587404,-0.188875942629022,-0.0093222423887309,-0.1003187008589605,-0.1128537580209821,-0.2038861163547068,0.2459826419969007,0.1077039098424001,-0.0277196472437298,0.0560270898100046,0.1356522062634302,0.0241247204680847,0.0548239269720801,-0.0433791549287788,0.0590416493359032,0.0767927869607852,0.0793687054788704,-0.0006650984495628,-0.0367917396334152,0.1157614727931911,0.132547548238634,-0.1919864743546066,0.0192768116019005,0.1253670780988409,-0.0452684724885052,0.0660147510179997,0.0286951149573742,-0.1674709377720719,0.2082883597988944,0.0560499475065748,0.0993923694553017,0.0570845673548352,0.133751720759126,-0.1135100172426047,0.095451507142955,0.0186065276874483,0.1527729930093273,-0.018200420385552,-0.1208482970793271,0.2378949696194365,-0.1268900336916159,-0.129034973954198,0.0205990186910837,-0.1216058234065572,-0.0549380751398982,0.0884827997134207,-0.0688891096922062,0.0487199325173475,0.0426705868195945, 39.0          , 11941.0      , 69.0          , 27094.0      , 85.0                , 43477.0            , 75.0                , 94329.0            , 2.18             , 3.64            , 1.08             , 3.48
BARDIYA        , BARDIYA        ,2019, 2075/76, Lumbini Province      ,0.0184076354101469,-0.131371090177517,0.1377213485440862,-0.0198757810570728,0.008321085239494,0.0057136279946313,-0.0638418135610968,0.1606182904837348,-0.0711378736112932,0.1119465921776305,0.1045210962795726,0.0990765174659413,-0.3130878970591642,0.0109705899384431,0.0332536753428005,0.0846783466526091,-0.1527079594640024,0.0248483522507099,-0.0704368251018353,-0.1855270587649286,-0.1913225094448086,0.2177152421588732,0.190063093961547,-0.0618071450343884,0.045806990350148,0.0374343944729727,-0.0105008723888795,0.0972530992977748,-0.0236987472248371,0.0297522346258796,0.0806973705574365,0.1685540397389796,0.0621421351663738,-0.0798842102616379,0.0257013116572746,0.0646595892174552,-0.1136869316204002,0.0487522386500906,0.087280029481513,-0.0822167094271209,0.0688129580173789,-0.0554409350445356,-0.1456087735015501,0.2143924080014452,0.1395153006222383,0.1164167683394615,0.0455425741131629,0.1183994195946975,-0.0689805966421379,0.0859228313186647,0.001601132009116,0.1137172871618461,0.0126502910295793,-0.115482594955633,0.1687168059069305,-0.1085673579067141,-0.1205808513536481,0.0192993688863975,-0.1071974351194199,-0.105031803550807,0.1814154584801647,-0.1240617318275698,0.0870575283209624,-0.0433304602808003, 9.0           , 2697.0       , N/A           , 17638.0      , 10.0                , 7921.0             , N/A                 , 67057.0            , 1.11             , 2.94            , N/A              , 3.8
BHAKTAPUR      , BHAKTAPUR      ,2019, 2075/76, Bagmati Province      ,-0.011793753701253,-0.1734014641934215,0.1627245193623543,-0.1102782237107879,0.0260415727353669,-0.0597146134229156,-0.0512764475575912,0.0953584850448486,-0.0711568392314835,0.110020558311534,0.0866521521197025,-0.0635820745614448,-0.3103264557458502,-0.0310475896000784,0.0689088864867926,-0.1263916182482204,-0.1902238896809357,0.0231376753274943,-0.1062209680535072,-0.1722091494303186,-0.1588583449381997,0.142377595454531,0.1033084095468043,-0.1219364402942918,0.034458638715464,0.0784022226073282,-0.0357561949566797,0.0273749955776483,-0.0676069019390653,-0.0200621869511889,0.035080623991881,0.1840864398027225,0.014279162337959,-0.025270838817298,0.0278002316113086,-0.0341528774650466,-0.1170958178361283,0.0250000577839265,0.0523333541683101,-0.0042456619180783,0.0280973750913873,-0.0069882896498463,-0.2416014670746319,0.1400761083551802,0.1051197340290962,0.0737657151141405,0.0811677213844004,0.1869798619344165,-0.0092761189038214,0.030738184001802,0.1113133742327032,0.1162377738991001,0.0379714706892104,0.023506346519242,0.2122073402583787,-0.1515396843721449,-0.1414978936526386,-0.0584575173288517,-0.1775918769791183,-0.1430188903161857,0.0448622469967634,-0.1087332431029312,0.0179481218850639,-0.0421623811473918, 18.0          , 1998.0       , 112.0         , 2172.0       , 37.0                , 8016.0             , 139.0               , 11113.0            , 2.08             , 4.01            , 1.24             , 5.12
